Название товара или услуги,Цена продажи,Артикул,Параметр: Совместимость:,Дополнительне поле: Установка в штатные места,Дополнительне поле: Комплектность,Изображения,Размещение на сайте,old url,Полное описание,Краткое описание,Дополнительне поле: Нужно клеить,Дополнительне поле: Гарантия
"Проводка подключения штатного гнезда USB/AUX для Лада Веста, Х Рей","",Код товара: M01AUXU00116,"Лада Веста (все модели), Лада Х Рей",Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Провод на 4 гнезда,"https://granves-shop.ru/images/photos/medium/shop2969-6.jpg, https://granves-shop.ru/images/photos/medium/shop2969-7.jpg, https://granves-shop.ru/images/photos/medium/shop2969-8.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/provodka-podklyuchenija-shtatnogo-gnezda-usb-aux-dlja-lada-vesta-h-rei.html,"<p>Проводка подключения штатного гнезда USB/AUX для Лада Веста, Х Рей</p>
<p>&nbsp,</p>
<p>Артикул: M01AUXU00116</p>
<p>В комплекте:&nbsp,проводка (без <a href=""https://granves-shop.ru/shop/dopolnitelnoe-oborudovanie/razem-usb-lada-vesta-h-rei.html"">разъема USB/AUX</a>)</p>
<p>&nbsp,</p>
<p>Приятная новость для владельцев автомобилей Лада Веста, комплектация которых не содержит с завода <a href=""https://granves-shop.ru/shop/dopolnitelnoe-oborudovanie/razem-usb-lada-vesta-h-rei.html"">разъем USB/AUX</a> для подключения и воспроизведения мультимедии с флеш-накопителя в автомобиле.</p>
<p>Теперь можно произвести установку <a href=""https://granves-shop.ru/shop/dopolnitelnoe-oborudovanie/razem-usb-lada-vesta-h-rei.html"">гнезда USB/AUX</a> самостоятельно при помощи данного комплекта проводки, которая позволит подключить гнездо к магнитоле.</p>
<hr>
<p><strong>Перед установкой рекомендуем произвести контрольную проверку на правильность установленных пинов в разъеме! </strong></p>
<hr>
<p>&nbsp,</p>
<p>Отдельно купить можете в нашем интернет-магазине <a href=""https://granves-shop.ru/shop/dopolnitelnoe-oborudovanie/razem-usb-lada-vesta-h-rei.html"">разъем USB/AUX для Лада&nbsp,Веста и Лада Х Рей</a></p>
<p>&nbsp,</p>",,,
Переходник для магнитолы ISO Intro FR-12 Лада Х Рей,"",Код товара: FR-12,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: 1 переходник,"https://granves-shop.ru/images/photos/medium/shop1164-3.jpg, https://granves-shop.ru/images/photos/medium/shop1164-4.jpg, https://granves-shop.ru/images/photos/medium/shop1164-5.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/perehodnik-dlja-magnitoly-iso-intro-fr-12-lada-h-rei.html,"<p><strong>Переходник для магнитолы ISO Intro FR-12 Лада Х Рей</strong></p>
<p>Intro ISO-FR12 это переходник, который позволяет перейти со штатного разъёма на стандарт ISO для автомобилей Лада Х Рей, а так же для Лада Ларгус (от 2012-),  Рено Дастер (2012 - 2013), Рено Логан (2012 - 2013), Рено Сандеро (2012 - 2013), Twingo (2012 - 2013).</p>
<p>Этот полезный адаптер поможет вам легко и просто подключить любую современную магнитолу к штатной проводке автомобиля, без грубой ""врезки"", что в свою очередь сохраняет вам заводскую гарантию.</p>
<p>Переходник подключается к стандартным разъемам магнитолы стандарта ISO 10487, а другим концом переходник подключается к коннектору автомобиля, предназначенной для подключения штатной магнитолы. Подключение осуществляется простым соединением разъемов (pin to pin) и не требует специальных знаний по электрике автомобиля.<br>
Производитель: Intro<br>
Артикул: FR-12</p>",,,
Проводка для подключения камеры заднего вида 8450008028 для Лада Веста,"",Код товара: M01VSAL00235,"Лада Веста, Гранта, Гранта FL",Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Провдка с разъемами (без камеры),"https://granves-shop.ru/images/photos/medium/shop3731-10.jpg, https://granves-shop.ru/images/photos/medium/shop3731-11.jpg, https://granves-shop.ru/images/photos/medium/shop3731-12.jpg, https://granves-shop.ru/images/photos/medium/shop3731-13.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/provodka-dlja-podklyuchenija-kamery-zadnego-vida-8450008028-dlja-lada-vesta.html,"<p>Проводка для подключения камеры заднего вида 8450008028 для Лада Веста</p>
<p>&nbsp,</p>
<p>Артикул: M01VSAL00235</p>
<p>В комплекте:&nbsp,проводка с разъемами <strong>(без камеры)</strong></p>
<p>Длина: 5.4 м</p>
<p>&nbsp,</p>
<p>Проводка для самостоятельного подключения <a href=""https://granves-shop.ru/shop/dopolnitelnoe-oborudovanie/shtatnaja-kamera-zadnego-vida-lada-vesta-8450008028.html"">оригинальной Samsung камеры заднего вида</a> для а/м Лада Веста и&nbsp,Лада Гранта.</p>
<p>При подключении не потребуется врезка в штатную проводку,&nbsp,подключение осуществляется по штатным разъемам.</p>
<p>Длина проводка составляет 5.4 метра, что вполне достаточно для качественной укладки через весь салон и багажное отделение.</p>
<p>&nbsp,</p>
<p>Проводка подходит к оригинальной камере Samsung, которая поставляется под артикулом 8450008028 :&nbsp, <a href=""https://granves-shop.ru/shop/dopolnitelnoe-oborudovanie/shtatnaja-kamera-zadnego-vida-lada-vesta-8450008028.html"">Штатная камера заднего вида Лада Веста 8450008028</a></p>",,,
"Жгут проводов переходной Лада Веста, Веста СВ, СВ Кросс","",Код товара: 8450032115,"Лада Веста, Веста СВ, СВ Кросс",,,"https://granves-shop.ru/images/photos/medium/shop2176-3.jpg, https://granves-shop.ru/images/photos/medium/shop2176-4.jpg, https://granves-shop.ru/images/photos/medium/shop2176-5.jpg, https://granves-shop.ru/images/photos/medium/shop2176-6.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/zhgut-provodov-perehodnoi-lada-vesta-vesta-sv-sv-kross.html,"<p>Жгут проводов переходной Лада Веста, Веста СВ, СВ Кросс</p>
<p>&nbsp,</p>
<p>Арт. 8450032115</p>
<p>Оригинальный жгут, для подключения светодиодного модуля подсветки интерьера если завод изготовитель не установил его ранее.</p>
<p>&nbsp,</p>
<p><a href=""https://www.drive2.ru/l/516739954680791975/"">Отзыв из БЖ от LESHAUY &nbsp,</a></p>",,,
Разъем ISO для подключения штатной ММС к CAN-шине Лада Веста,"",Код товара: M01VSSU0208,Лада Веста,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Разъем с фишкой CAN-шины,"https://granves-shop.ru/images/photos/medium/shop3168-1.jpg, https://granves-shop.ru/images/photos/medium/shop3168-2.jpg, https://granves-shop.ru/images/photos/medium/shop3168-3.jpg, https://granves-shop.ru/images/photos/medium/shop3168-4.jpg, https://granves-shop.ru/images/photos/medium/shop3168-5.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/razem-iso-dlja-podklyuchenija-shtatnoi-mms-k-can-shine-lada-vesta.html,"<p>Разъем ISO для подключения штатной ММС к CAN-шине Лада Веста</p>
<p>&nbsp,</p>
<p>Артикул:&nbsp,M01VSSU0208</p>
<p>Производство:&nbsp,Россия</p>
<p>&nbsp,</p>
<p>Разъем служит для выведения дополнительной информации о параметрах двигателя на экран штатной мультимедийной системы, которая устанавливается на заводе АвтоВАЗ (<a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/shtatnaja-sensornaja-multimedia-magnitola-lada-vesta-8450007950.html"">магнитола с экраном</a> под номером 8450007950)</p>
<p>Установка производится к ММС с обратной стороны в штатный разъем, а ответная часть подключается к разъему OBD в салоне Вашего автомобиля.</p>
<p>&nbsp,</p>
<p>Со слов производителя - дополнительно никаких приложений устанавливать не требуется.</p>",,,
Антенна короткая Renault оригинал 8200500322 (шт),"",Код товара: 8200500322," Лада Веста, Рено Логан 2",Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: 1 антенна,,"Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/antenna-korotkaja-renault-original-8200500322-sht.html,"<p>Антенна короткая Renault оригинал 8200500322 (шт)<br>
&nbsp,</p>
<p>Антенна без основания.</p>
<p>Длина : 23 см</p>","Внимание! Срок поставки этой позиции может отличаться от стандартного и составлять до <span style=""color: red"">7</span> рабочих дней<br><font size=""1"">При отстутствии товара на основном складе цена может измениться и подлежит уточнению!</font>",,
Разъем камеры заднего вида штатной ММС Лада Гранта Mini ISO,"",Код товара: mini-iso-blue,"Лада Гранта, Калина-2, Датсун",Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Переходник - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop3146-12.jpg, https://granves-shop.ru/images/photos/medium/shop3146-13.jpg, https://granves-shop.ru/images/photos/medium/shop3146-15.jpg, https://granves-shop.ru/images/photos/medium/shop3146-17.jpg, https://granves-shop.ru/images/photos/medium/shop3146-18.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/dopolnitelnoe-oborudovanie/parktroniki-i-kamery-zadnego-vida/razem-kamery-zadnego-vida-shtatnoi-mms-lada-granta-mini-iso.html,"<p>Разъем камеры заднего вида штатной ММС Лада Гранта Mini ISO</p>
<p>&nbsp,</p>
<p>Артикул:&nbsp,mini-iso-blue</p>
<p>&nbsp,</p>
<p>Переходник позволяет подключить камеру заднего вида к штатной ММС на автомобили Лада Гранта, Калина-2, Datsun, которые не были оснащены с завода данной функцией.</p>
<p>Устанавливаете в крышку багажника автомобиля камеру заднего вида и тяните провода до магнитолы через весь салон. Прошивать магнитолу не потребуется для работы камеры заднего вида потребуется только настройка, нужно из режима рабочего стола ММС запустить приложение, которые можете <a href=""https://yadi.sk/d/hK1ibuVaf2OhvQ"">скачать</a> и записать на USB Flash.</p>
<ol>
    <li>Переходим на рабочий стол (WinCE). На экране магнитолы удерживаем кнопку ""Настройки"", затем ""Выход"" и ""Рабочий стол"".</li>
    <li>Запускаем программу.&nbsp,Мое устройство - USB disk - Папка&nbsp,с программой - Запускаем файл CamOnOff.</li>
    <li>Разрешаем использовать камеру. Нажимаем на соответствующую кнопку. Закрываем программу, она и USB Flash больше не потребуется.</li>
</ol>
<p>&nbsp,</p>
<p>Возможно&nbsp,Вам также пригодится <a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/mini-iso-rca-perehodnik-dlja-magnitoly-na-lada-vesta.html"">переходник для магнитолы Лада Гранта </a></p>",,,
"Разъем ISO для подключения штатной ММС к CAN-шине Лада Гранта, Калина-2","",Код товара: M01GRSU0208,"Лада Гранта, Калина-2",Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Разъем с фишкой CAN-шины,"https://granves-shop.ru/images/photos/medium/shop3172-5.jpg, https://granves-shop.ru/images/photos/medium/shop3172-6.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/razem-iso-dlja-podklyuchenija-shtatnoi-mms-k-can-shine-lada-granta-kalina-2.html,"<p>Разъем ISO для подключения штатной ММС к CAN-шине Лада Гранта, Калина-2</p>
<p>&nbsp,</p>
<p>Артикул: M01GRSU0208</p>
<p>Производство:&nbsp,Россия</p>
<p>&nbsp,</p>
<p>Разъем ISO для подключения штатной мультимедийной системы к CAN-шине автомобиля Лада Гранта и Калина-2.</p>
<p>Данное устройство позволит вывести на экран ММС&nbsp,информацию о параметрах двигателя.</p>
<p>Одна часть устройства подключается в штатный разъем ММС,&nbsp,обратная сторона в заводской OBD-разъем, который располагается в салоне автомобиля.</p>
<p>&nbsp,</p>
<p>Подключить возможно только к штатной ММС,&nbsp,к сторонним устройствам данный продукт не предназначен.</p>",,,
"Плата эмуляции фиксированных кнопок круиз контроля и ограничения скорости, для подключения мультируля Лада Х Рей (с проводкой Sandero)","",Код товара: M01XRSU00135,Лада Х Рей,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Проводка в сборе,https://granves-shop.ru/images/photos/medium/shop2179-1.jpg,"Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/plata-podklyuchenija-multirulja-lada-h-rei-s-provodkoi-sandero.html,"<p>Плата эмуляции фиксированных кнопок круиз контроля и ограничения скорости, для подключения мультируля Лада Х Рей (с проводкой Sandero)</p>
<p>&nbsp,</p>
<p>Для авто, где проводка Renault Sandero - можно подключить мультируль</p>
<p>со всем функционалом, включая круиз на руле.</p>
<p>Не забудьте проверить, что в вашем Лада Х Рей стоит проводка</p>
<p>Рено Сандеро (первый шаг в инструкции).</p>
<p>&nbsp,</p>
<p><a href=""https://yadi.sk/i/5-Lzn3GE7k1X2Q""><strong>Инструкция</strong></a></p>
<p>&nbsp,</p>
<p>Похожий товар:</p>
<p><a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/vstavka-dlja-multirulja-lada-vesta.html"">Вставка для мультируля Лада Веста</a></p>",,,
Антенна GPS Лада Х Рей 259752753R,"",Код товара: 259752753R, Лада Х Рей,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Переходник на антенну,"https://granves-shop.ru/images/photos/medium/shop1980-1.jpg, https://granves-shop.ru/images/photos/medium/shop1980-2.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/antenna-gps-lada-h-rei-259752753r.html,"<p>Антенна GPS Лада Х Рей</p>
<p>&nbsp,</p>
<p>Арт. 259752753R</p>
<p>Антенна системы навигации</p>
<p>&nbsp,</p>
<p>&nbsp,</p>
<p>Похожий товар:</p>
<p><a href=""https://granves-shop.ru/shop/osveschenie-i-yelektrika/perehodnik-iso-ant-1-antenny-dlja-lada-h-rei-lada-vesta.html"">Переходник ISO ANT-1 антенны для Лада Х Рей Лада Веста</a></p>",,,
Комплект жгутов-переходников для подключения зеркал с электроскладыванием Лада Веста,"",Код товара: M02VSSU00315,Лада Веста,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Переходгник - 2 шт.,"https://granves-shop.ru/images/photos/medium/shop3750-1.jpg, https://granves-shop.ru/images/photos/medium/shop3750-2.jpg, https://granves-shop.ru/images/photos/medium/shop3750-3.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/komplekt-zhgutov-perehodnikov-dlja-podklyuchenija-zerkal-s-yelektroskladyvaniem-lada-vesta.html,"<p>Комплект жгутов-переходников для подключения зеркал с электроскладыванием Лада Веста</p>
<p>&nbsp,</p>
<p>Артикул: M02VSSU00315</p>
<p>Производитель:&nbsp,SALINA</p>
<p>В комплекте:&nbsp,2 переходника</p>
<p>Цена:&nbsp,за комплект</p>
<p>&nbsp,</p>
<p>Комплект жгутов-переходников для подключения <a href=""https://granves-shop.ru/shop/tyuning/skladyvayuscheesja-zerkalo-dlja-lada-vesta.html"">зеркал с электроскладыванием</a> для автомобиля Лада Веста.</p>
<p>В комплект входит два жгута: один жгут для правого зеркала + один жгут для левого зеркала.</p>",,,
Монтажный набор для подключения электрозеркал,"",Код товара: VS-MNPE, универсальный,,,https://granves-shop.ru/images/photos/medium/shop1918-7.jpg,"Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/montazhnyi-nabor-dlja-podklyuchenija-yelektrozerkal.html,"<p>&nbsp,Монтажный набор для подключения электрозеркал</p>
<p>&nbsp,</p>
<p>Арт.VS-MNPE</p>
<p>&nbsp,</p>
<p><strong>Универсальный </strong>электромонтажный комплект проводов для подключения электрозеркал.</p>
<p><strong>Т.к комплект универсальный,&nbsp,то фишки на данной проводке не подойдут для всех видов автомобилей,&nbsp,т.к у каждой модели они свои и при установке Вам понадобится их демонтировать!</strong></p>","Внимание! Срок поставки этой позиции может отличаться от стандартного и составлять до <span style=""color: red"">7</span> рабочих дней<br><font size=""1"">При отстутствии товара на основном складе цена может измениться и подлежит уточнению!</font>",,
Жгут проводов подключения микрофона для ММС EnjoY Pro в Лада Веста,"",Код товара: 8450033682," Лада Веста, Гранта FL",Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Жгут проводов - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop4155-1.jpg, https://granves-shop.ru/images/photos/medium/shop4155-2.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/zhgut-provodov-podklyuchenija-mikrofona-dlja-mms-enjoy-pro-lada-vesta-avtovaz.html,"<p>Жгут проводов подключения микрофона для <strong>ММС EnjoY Pro </strong>в автомобили Лада Веста, Гранта FL.</p>
<p>&nbsp,</p>
<p>Производитель:&nbsp,АвтоВАЗ</p>
<p>На схеме:&nbsp,под номером ""8""</p>
<p>Цена:&nbsp,за 1 шт.</p>
<p>&nbsp,</p>
<p>&nbsp,</p>
<p>Это оригинальный жгут проводки подключения микрофона, который установлен в комплектации с MMC EnjoY.</p>
<p>Производителем жгута проводки для АвтоВАЗ является ""Язаки Волга"" ООО г. Городец</p>
<p>&nbsp,</p>
<p>Если комплектация Вашего автомобиля не имела MMC EnjoY и Вы планируете установку в свой автомобиль, то Вам потребуется следующее:</p>
<ul>
    <li>8450033415&nbsp,Оборудование мультимедийное навигационное 8""</li>
    <li><strong>8450033682</strong> Жгут проводов подключения микрофона в сборе&nbsp,</li>
    <li>283129988R&nbsp,Микрофон белый&nbsp,</li>
    <li>283408768R&nbsp,Держатель микрофона</li>
    <li>280235412R&nbsp,Разъем USB</li>
    <li>8450033566&nbsp,или&nbsp,8450033567&nbsp,Накладка консоли приборов центральная</li>
</ul>","Внимание! Срок поставки этой позиции может отличаться от стандартного и составлять до <span style=""color: red"">7</span> рабочих дней<br><font size=""1"">При отстутствии товара на основном складе цена может измениться и подлежит уточнению!</font>",,
"Антенна иммобилайзера для Лада Веста, оригинал","",Код товара: 285916556R,Лада Веста (все модели),Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Антенна иммобилайзера - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop4158-1.jpg, https://granves-shop.ru/images/photos/medium/shop4158-2.jpg","Главная → Автосвет, электрика и звук → Антенны и переходники",https://granves-shop.ru/shop/osveschenie-i-yelektrika/antenny-i-perehodniki/antenna-immobilaizera-kolco-reno-original-dlja-lada-vesta-renault.html,"<p>Антенна иммобилайзера для Лада Веста, оригинал</p>
<p>&nbsp,</p>
<p>Производитель:&nbsp,АвтоВАЗ / Renault</p>
<p>Материал:&nbsp,Пластик</p>
<p>На схеме:&nbsp,под номером ""1""</p>
<p>Цена:&nbsp,за 1 шт.</p>
<p>&nbsp,</p>
<p>Антенна иммобилайзера для автомобиля Лада Веста является элементом электронного противоугонного устройства.</p>
<p>Это оригинальная деталь, которая устанавливается на заводе-изготовителе АвтоВАЗ на новые автомобили.</p>
<p>&nbsp,</p>","Внимание! Срок поставки этой позиции может отличаться от стандартного и составлять до <span style=""color: red"">7</span> рабочих дней<br><font size=""1"">При отстутствии товара на основном складе цена может измениться и подлежит уточнению!</font>",,
"Комплект шумоизоляционный ""Антискрип""","",Код товара: LS-ANTI,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: 3 полосы,"https://granves-shop.ru/images/photos/medium/shop1270-2.jpg, https://granves-shop.ru/images/photos/medium/shop1270-3.jpg, https://granves-shop.ru/images/photos/medium/shop1270-4.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/komplekt-shumoizoljacionnyi-antiskrip.html,"<p>Комплект шумоизоляционный ""Антискрип""</p>
<p><br>
Применяется для устранения скрипа соприкасающихся деталей интерьера, устранения дребезга разъёмов жгутов проводов, уплотнения стыков и швов.  <br>
В комплекте три полосы 1000х20х10 мм.</p>
<p>Материал ""Виолон 10"" компании СТМ.</p>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",
"Антискрип Маделин - Н (лента) 15х2000 мм., STP","",Код товара: 03952-02-00,,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Лента - 1 шт.,"https://granves-shop.ru/images/photos/medium/shop3924-5.jpg, https://granves-shop.ru/images/photos/medium/shop3924-6.jpg, https://granves-shop.ru/images/photos/medium/shop3924-7.jpg, https://granves-shop.ru/images/photos/medium/shop3924-8.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/shumoizoljacija/antiskrip-madelin-n-lenta-15h2000-mm-stp.html,"<p>Антискрип Маделин - Н (лента) 15х2000 мм., STP</p>
<p>&nbsp,</p>
<p>Артикул:&nbsp,03952-02-00</p>
<p>Производитель:&nbsp,STP&nbsp,(СтандартПласт)</p>
<p>Размер ленты: 15х2000 мм</p>
<p>Цена:&nbsp,за 1 ленту</p>
<p>&nbsp,</p>
<p>Маделин Н – прокладочный уплотнительный материал на основе нетканого полотна. Служит для устранения скрипов панелей салона.</p>
<p>&nbsp,</p>
<div>
<div>
<div><strong>Состав материала:</strong></div>
</div>
<div>
<ul>
    <li>Уплотнительный декоративный материал на основе нетканого полотна</li>
    <li>Клеевой монтажный слой</li>
    <li>Защитная антиадгезионная пленка</li>
</ul>
</div>
</div>
<div>
<div>
<div><strong>Преимущества:</strong></div>
</div>
<div>
<ul>
    <li>Долговечен</li>
    <li>Не подвержен разложению при низких температурах (до – 50 ºС)</li>
    <li>Устраняет скрипы и дребезг в салоне</li>
</ul>
<p><strong>Характеристики:</strong></p>
<ul>
    <li>Толщина ленты 1.5 мм</li>
    <li>Размер ленты 0.015 х 2 м</li>
    <li>Масса на м² 0.34 кг</li>
    <li>Время кондиционирования («вылеживания») 24 ч.</li>
    <li>Температура кондиционирования (20 ± 5) °C</li>
</ul>
<p>&nbsp,</p>
</div>
</div>
<div><strong>Рекомендуемая зоны обработки: Двери, Крышка багажника</strong></div>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",
Шумоизоляция моторного отсека Лада Х Рей,"",Код товара: 679002391R,Лада Х Рей,Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,Поставщик заявил следующую комплектность: Шумоизоляция - 1 шт.,https://granves-shop.ru/images/photos/medium/shop1966-1.jpg,Главная → Шумоизоляция,https://granves-shop.ru/shop/dvigatel/shumoizoljacija-motornogo-otseka-lada-h-rei.html,"<p>Шумоизоляция моторного отсека Лада Х Рей</p>
<p>&nbsp,</p>
<p>Арт. 679002391R</p>
<p>Производитель:&nbsp,Троя</p>
<p>В комплекте:&nbsp,утеплитель - 1 шт (БЕЗ&nbsp,КРЕПЕЖА)</p>
<p>&nbsp,</p>
<p>Шумоизоляция моторного щита, которая устанавливается штатно на автомобилях на заводе АвтоВАЗ. Понадобится на замену заводской, которая утратила свой вид.</p>
<p>Для установки потребуются <a href=""https://granves-shop.ru/shop/kuzov/klipsa-piston-perednego-bryzgovika-lada-h-rei.html"">клипсы</a>.</p>",,,
Комплект для виброизоляции капота Лада Веста,"",Код товара: VIK-LDVS, Лада Веста (все модели),Данный продукт заявлен производителем для установки в штатные места. Вам не придется делать новых отверстий в машине для установки. Чаще всего у таких деталей используется родной крепеж (бывают исключения).,"Поставщик заявил следующую комплектность: 4 листа, инструкция","https://granves-shop.ru/images/photos/medium/shop2539-3.jpg, https://granves-shop.ru/images/photos/medium/shop2539-4.jpg, https://granves-shop.ru/images/photos/medium/shop2539-5.jpg, https://granves-shop.ru/images/photos/medium/shop2539-6.jpg, https://granves-shop.ru/images/photos/medium/shop2539-7.jpg",Главная → Шумоизоляция,https://granves-shop.ru/shop/v-pomosch-avtomobilistu/obshivki-kapota-utepliteli-i-shumoizoljacii/komplekt-dlja-vibroizoljacii-kapota-lada-vesta.html,"<p>&nbsp,Комплект для виброизоляции капота Лада Веста</p>
<p>&nbsp,</p>
<p>Комплект изготовлен из самоклеящегося виброизоляционного материала на битумно-мастичной основе.</p>
<p><strong>Состав материала:</strong> Фольга / Кашированная фольгой бумага, битумный слой, липкий монтажный слой на основе, вибродемпфирующей мастики, защитная анти-адгезионная бумага.</p>
<p>&nbsp,</p>
<p><strong>Характеристики материала: </strong></p>
<p>Толщина : 4 мм, КМП при +20 градусов = 0.3 усл. ед., температурный диапазон использования от -40 до +80 градусов, допускается кратковременное воздействие температур до 150 градусов.</p>
<p>&nbsp,</p>
<p><strong>Установка:</strong></p>
<ol>
    <li>Очистить монтажную поверхность от загрязнений. Для очистки поверхности от загрязнений рекомендуется пользоваться водой с нейтральными моющими средствами, не содержащими органических растворителей и щелочи. Замасленные поверхности необходимо обезжирить растворителем и высушить.</li>
    <li>Произвести монтаж виброизоляционных прокладок из комплекта. Температура рабочего помещения, где проводится монтаж, должна составлять 18-30 градусов. Перед монтажом прокладки следует прогреть тепловым феном со стороны мастичного слоя до пластичного состояния, предварительно отделив анти-адгезионную бумагу, смонтировать изделие на монтажную поверхность и прижать монтажным валиком.</li>
</ol>
<p><strong>Внимание!</strong> не допускайте образование воздушных пузырей между прокладками и монтажной поверхностью.</p>
<p><br>
В комплекте : 4 прокладки, инструкция по установке.&nbsp,</p>",,"Данное изделие нужно приклеивать. Ознакомьтесь с нашей инструкцией . Если скотч не нанесен, . Рекомендуем взять в салфетках или .",На данный продукт производитель дает следующую гарантию: 6 месяцев
